cardNumber,player,team,subset,rookie,checklistInsiderPlayer,checklistInsiderTeam,beckettPlayer,beckettTeam,footballCardShopPlayer,footballCardShopTeam,tcdbPlayer,tcdbTeam,marketplaceSearchPlayer,marketplaceSearchTeam,searchSynthesisPlayer,searchSynthesisTeam,beckettAutographParallelPlayer,beckettAutographParallelTeam,freshDCardsPlayer,freshDCardsTeam,sportsCardInvestorPlayer,sportsCardInvestorTeam,amazonPlayer,amazonTeam,priceGuideSitePlayer,priceGuideSiteTeam,priceGuideSiteSite,sourceCount,verificationStatus,tierA,tierB,tierC,evidenceQualityStatus,passesStrictProductionGate,notes
315,Abdul Carter,New York Giants,Base Rated Rookie,True,,,Abdul Carter,New York Giants,Abdul Carter,New York Giants,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
316,Dillon Gabriel,Cleveland Browns,Base Rated Rookie,True,,,Dillon Gabriel,Cleveland Browns,Dillon Gabriel,Cleveland Browns,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
317,Elijah Arroyo,Seattle Seahawks,Base Rated Rookie,True,,,Elijah Arroyo,Seattle Seahawks,Elijah Arroyo,Seattle Seahawks,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
318,Savion Williams,Green Bay Packers,Base Rated Rookie,True,,,Savion Williams,Green Bay Packers,Savion Williams,Green Bay Packers,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
319,Mykel Williams,San Francisco 49ers,Base Rated Rookie,True,,,Mykel Williams,San Francisco 49ers,Mykel Williams,San Francisco 49ers,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
320,Jack Bech,Las Vegas Raiders,Base Rated Rookie,True,,,Jack Bech,Las Vegas Raiders,Jack Bech,Las Vegas Raiders,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
321,Jalen Royals,Kansas City Chiefs,Base Rated Rookie,True,,,Jalen Royals,Kansas City Chiefs,Jalen Royals,Kansas City Chiefs,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
322,Kaleb Johnson,Pittsburgh Steelers,Base Rated Rookie,True,,,Kaleb Johnson,Pittsburgh Steelers,Kaleb Johnson,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
323,Terrance Ferguson,Los Angeles Rams,Base Rated Rookie,True,,,Terrance Ferguson,Los Angeles Rams,Terrance Ferguson,Los Angeles Rams,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
324,Jaylin Noel,Houston Texans,Base Rated Rookie,True,,,Jaylin Noel,Houston Texans,Jaylin Noel,Houston Texans,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
325,Kyle McCord,Philadelphia Eagles,Base Rated Rookie,True,,,Kyle McCord,Philadelphia Eagles,Kyle McCord,Philadelphia Eagles,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
326,Trevor Etienne,Carolina Panthers,Base Rated Rookie,True,,,,,Trevor Etienne,Carolina Panthers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
327,Kyle Williams,New England Patriots,Base Rated Rookie,True,,,,,Kyle Williams,New England Patriots,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
328,Mason Taylor,New York Jets,Base Rated Rookie,True,,,,,Mason Taylor,New York Jets,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
329,Tre Harris III,Los Angeles Chargers,Base Rated Rookie,True,,,,,Tre Harris III,Los Angeles Chargers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
330,Quinshon Judkins,Cleveland Browns,Base Rated Rookie,True,,,,,Quinshon Judkins,Cleveland Browns,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
331,Tai Felton,Minnesota Vikings,Base Rated Rookie,True,,,,,Tai Felton,Minnesota Vikings,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
332,TreVeyon Henderson,New England Patriots,Base Rated Rookie,True,,,,,TreVeyon Henderson,New England Patriots,TreVeyon Henderson,New England Patriots,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,footballCardShop|tcdb,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across footballCardShop, tcdb. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
333,Bhayshul Tuten,Jacksonville Jaguars,Base Rated Rookie,True,,,,,Bhayshul Tuten,Jacksonville Jaguars,Bhayshul Tuten,Jacksonville Jaguars,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,footballCardShop|tcdb,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across footballCardShop, tcdb. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
334,Jayden Higgins,Houston Texans,Base Rated Rookie,True,,,,,Jayden Higgins,Houston Texans,Jayden Higgins,Houston Texans,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,footballCardShop|tcdb,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across footballCardShop, tcdb. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
335,Jaylin Lane,Washington Commanders,Base Rated Rookie,True,,,,,,,Jaylin Lane,Washington Commanders,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
336,Pat Bryant,Denver Broncos,Base Rated Rookie,True,,,,,,,Pat Bryant,Denver Broncos,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
337,Tyler Warren,Indianapolis Colts,Base Rated Rookie,True,,,,,,,Tyler Warren,Indianapolis Colts,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
338,Isaac TeSlaa,Detroit Lions,Base Rated Rookie,True,,,,,,,Isaac TeSlaa,Detroit Lions,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
339,Elic Ayomanor,Tennessee Titans,Base Rated Rookie,True,,,,,,,Elic Ayomanor,Tennessee Titans,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
340,Mason Graham,Cleveland Browns,Base Rated Rookie,True,,,,,,,Mason Graham,Cleveland Browns,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
341,Riley Leonard,Indianapolis Colts,Base Rated Rookie,True,,,,,,,Riley Leonard,Indianapolis Colts,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
342,Quinn Ewers,Miami Dolphins,Base Rated Rookie,True,,,,,,,Quinn Ewers,Miami Dolphins,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
343,Jihaad Campbell,Philadelphia Eagles,Base Rated Rookie,True,,,,,,,Jihaad Campbell,Philadelphia Eagles,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
344,Jalon Walker,Atlanta Falcons,Base Rated Rookie,True,,,,,,,Jalon Walker,Atlanta Falcons,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
345,Will Campbell,New England Patriots,Base Rated Rookie,True,,,,,,,Will Campbell,New England Patriots,,,,,,,Will Campbell,LSU Tigers,,,Will Campbell,New England Patriots,,,,2,TWO_SOURCE_VERIFIED,tcdb,,amazon,SINGLE_STRONG_SOURCE,False,"RESOLVED 2026-09-04 round 2: tcdb + amazon (both individually attributable, both 'New England Patriots') now meet TWO_SOURCE_VERIFIED. freshDCards' 'LSU Tigers' value is preserved verbatim in its own field (never deleted) and documented as a resolved outlier: every other source found this session (TCDB, Amazon, multiple eBay listings) independently and consistently gives 'New England Patriots', and 'LSU Tigers' cannot be a valid 2025 NFL team field - consistent with FreshDCards having substituted a college affiliation in that one field. See donruss-websearch-round2-raw.md."
346,Malaki Starks,Baltimore Ravens,Base Rated Rookie,True,,,,,,,Malaki Starks,Baltimore Ravens,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
347,Graham Mertz,Houston Texans,Base Rated Rookie,True,,,,,,,Graham Mertz,Houston Texans,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,tcdb,,,SINGLE_STRONG_SOURCE,False,Only tcdb covers this number.
348,Nick Emmanwori,Seattle Seahawks,Base Rated Rookie,True,,,,,Nick Emmanwori,Seattle Seahawks,Nick Emmanwori,Seattle Seahawks,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,footballCardShop|tcdb,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across footballCardShop, tcdb. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
349,Dont'e Thornton Jr.,Las Vegas Raiders,Base Rated Rookie,True,,,,,Dont'e Thornton Jr.,Las Vegas Raiders,Dont'e Thornton Jr.,Las Vegas Raiders,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,footballCardShop|tcdb,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across footballCardShop, tcdb. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
350,Cam Ward,Tennessee Titans,Base Rated Rookie,True,,,,,Cam Ward,Tennessee Titans,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
351,T.J. Sanders,Buffalo Bills,Base Rated Rookie,True,,,,,T.J. Sanders,Buffalo Bills,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
352,Jarquez Hunter,Los Angeles Rams,Base Rated Rookie,True,,,,,Jarquez Hunter,Los Angeles Rams,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
353,Ashton Gillotte,Kansas City Chiefs,Base Rated Rookie,True,,,,,Ashton Gillotte,Kansas City Chiefs,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
354,Tyler Booker,Dallas Cowboys,Base Rated Rookie,True,,,,,Tyler Booker,Dallas Cowboys,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
355,Alfred Collins,San Francisco 49ers,Base Rated Rookie,True,,,,,Alfred Collins,San Francisco 49ers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
356,Jordan Watkins,San Francisco 49ers,Base Rated Rookie,True,,,,,Jordan Watkins,San Francisco 49ers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
357,Jackson Hawes,Buffalo Bills,Base Rated Rookie,True,,,,,Jackson Hawes,Buffalo Bills,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
358,Armand Membou,New York Jets,Base Rated Rookie,True,,,,,Armand Membou,New York Jets,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
359,Devin Neal,New Orleans Saints,Base Rated Rookie,True,,,,,Devin Neal,New Orleans Saints,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
360,Tyleik Williams,Detroit Lions,Base Rated Rookie,True,,,,,Tyleik Williams,Detroit Lions,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
361,Benjamin Morrison,Tampa Bay Buccaneers,Base Rated Rookie,True,,,,,Benjamin Morrison,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
362,Maxwell Hairston,Buffalo Bills,Base Rated Rookie,True,,,,,Maxwell Hairston,Buffalo Bills,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
363,James Pearce Jr.,Atlanta Falcons,Base Rated Rookie,True,,,,,James Pearce Jr.,Atlanta Falcons,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
364,DJ Giddens,Indianapolis Colts,Base Rated Rookie,True,,,,,DJ Giddens,Indianapolis Colts,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
365,Jahdae Barron,Denver Broncos,Base Rated Rookie,True,,,,,Jahdae Barron,Denver Broncos,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
366,Grey Zabel,Seattle Seahawks,Base Rated Rookie,True,,,,,Grey Zabel,Seattle Seahawks,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
367,KeAndre Lambert-Smith,Los Angeles Chargers,Base Rated Rookie,True,,,,,KeAndre Lambert-Smith,Los Angeles Chargers,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
368,Josh Simmons,Kansas City Chiefs,Base Rated Rookie,True,,,,,Josh Simmons,Kansas City Chiefs,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
369,Trey Amos,Washington Commanders,Base Rated Rookie,True,,,,,Trey Amos,Washington Commanders,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,footballCardShop,,,SINGLE_STRONG_SOURCE,False,Only footballCardShop covers this number.
370,Kenneth Grant,Miami Dolphins,Base Rated Rookie,True,,,,,,,,,Kenneth Grant,Miami Dolphins,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,,,marketplaceSearch,SINGLE_MARKETPLACE_SOURCE,False,Upgraded 2026-09-04 round 2: multiple individually attributable eBay/Mercari listings. marketplaceSearch counted as one source type. See donruss-websearch-round2-raw.md.
371,Gunnar Helm,Tennessee Titans,Base Rated Rookie,True,,,,,,,,,Gunnar Helm,Tennessee Titans,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,,,marketplaceSearch,SINGLE_MARKETPLACE_SOURCE,False,"Upgraded 2026-09-04 round 2: multiple individually attributable eBay listings (e.g. ebay.com/itm/398241611207, ebay.com/itm/389272611083). Only one independent source type found. See donruss-websearch-round2-raw.md."
372,Kelvin Banks Jr.,New Orleans Saints,Base Rated Rookie,True,,,,,,,,,Kelvin Banks Jr.,New Orleans Saints,,,,,,,,,,,Kelvin Banks Jr.,New Orleans Saints,SportsCardsPro,2,TWO_SOURCE_VERIFIED,,priceGuideSite,marketplaceSearch,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: individually attributable eBay listings + SportsCardsPro dedicated page. See donruss-websearch-round2-raw.md.
373,Harold Fannin Jr.,Cleveland Browns,Base Rated Rookie,True,,,,,,,,,Harold Fannin Jr.,Cleveland Browns,,,,,,,Harold Fannin Jr.,Cleveland Browns,Harold Fannin Jr.,Cleveland Browns,,,,3,TWO_SOURCE_VERIFIED,,sportsCardInvestor,marketplaceSearch|amazon,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: eBay listings + Amazon.com dedicated listing + Sports Card Investor dedicated page. See donruss-websearch-round2-raw.md.
374,Jordan James,San Francisco 49ers,Base Rated Rookie,True,,,,,,,,,Jordan James,San Francisco 49ers,,,,,,,,,,,Jordan James,San Francisco 49ers,TradingCardsMarketplace,2,TWO_SOURCE_VERIFIED,,priceGuideSite,marketplaceSearch,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: eBay listing (ebay.com/itm/800226983206) + TradingCardsMarketplace.com dedicated product listing. See donruss-websearch-round2-raw.md.
375,Emeka Egbuka,Tampa Bay Buccaneers,Base Rated Rookie,True,,,,,,,,,Emeka Egbuka,Tampa Bay Buccaneers,,,,,,,Emeka Egbuka,Tampa Bay Buccaneers,,,Emeka Egbuka,Tampa Bay Buccaneers,SportsCardsPro/ToyWiz,3,TWO_SOURCE_VERIFIED,,sportsCardInvestor|priceGuideSite,marketplaceSearch,DATABASE_CROSS_VERIFIED,False,"Upgraded 2026-09-04 round 2: 7+ individually attributable eBay listings, Sports Card Investor dedicated page, and ToyWiz/SportsCardsPro price-guide pages all agree. See donruss-websearch-round2-raw.md."
376,Josaiah Stewart,Los Angeles Rams,Base Rated Rookie,True,,,,,,,,,Josaiah Stewart,Los Angeles Rams,,,,,,,,,,,Josaiah Stewart,Los Angeles Rams,SportsCardsPro/COMC,2,TWO_SOURCE_VERIFIED,,priceGuideSite,marketplaceSearch,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: eBay listing (ebay.com/itm/800055653827) + COMC/SportsCardsPro dedicated pages. See donruss-websearch-round2-raw.md.
377,Woody Marks,Houston Texans,Base Rated Rookie,True,,,,,,,,,Woody Marks,Houston Texans,,,,,,,Woody Marks,Houston Texans,Woody Marks,Houston Texans,,,,3,TWO_SOURCE_VERIFIED,,sportsCardInvestor,marketplaceSearch|amazon,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: eBay listing + two Amazon.com listings + Sports Card Investor dedicated pages. See donruss-websearch-round2-raw.md.
378,Kalel Mullings,Tennessee Titans,Base Rated Rookie,True,,,,,,,,,Kalel Mullings,Tennessee Titans,,,,,,,,,,,Kalel Mullings,Tennessee Titans,SportsCardsPro/COMC,2,TWO_SOURCE_VERIFIED,,priceGuideSite,marketplaceSearch,SINGLE_STRONG_SOURCE,False,Upgraded 2026-09-04 round 2: eBay listing (ebay.com/itm/257415234015) + SportsCardsPro/COMC dedicated pages. See donruss-websearch-round2-raw.md.
